en-CA;CCAD2018MLPCM;5134892000;CorelCAD 2018;899;764;;CA$ 135;-15%;($135)
en-CA;ESDCCAD2018ML;204960;CorelCAD 2018;899;764;;CA$ 135;-15%;($135)
en-CA;ESDCCAD2018MLUG;204961;CorelCAD 2018;259;219;;CA$ 40;-15%;($40)
de-DE;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;704,99;;15 %;-15%;($125)
de-DE;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;203,99;;15 %;-15%;($36)
en-AU;ESDCCAD2018ML;204960;CorelCAD 2018;999;849;;15%;-15%;($150)
en-AU;ESDCCAD2018MLUG;204961;CorelCAD 2018;285;242;;15%;-15%;($43)
en-GB;ESDCCAD2018ML;204960;CorelCAD 2018;799.99;679.99;;15%;-15%;($120)
en-GB;ESDCCAD2018MLUG;204961;CorelCAD 2018;232.99;197.99;;15%;-15%;($35)
en-US;CCAD2018MLPCM;5134892000;CorelCAD 2018;699;594;;$105;-15%;($105)
en-US;ESDCCAD2018ML;204960;CorelCAD 2018;699;594;;$105;-15%;($105)
en-US;ESDCCAD2018MLUG;204961;CorelCAD 2018;199;169;;$30;-15%;($30)
fr-FR;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;704,99;;15 %;-15%;($125)
fr-FR;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;203,99;;15 %;-15%;($36)
ja-JP;ESDCCAD2018ML;204960;CorelCAD 2018;74,520;63,342;;15%;-15%;($11,178)
ja-JP;ESDCCAD2018MLUG;204961;CorelCAD 2018;36,720;31,212;;15%;-15%;($5,508)
